Country/State,City/Region,Group Name,Link,Latitude,Longitude,Merged?,Map Link
,Darwin,Slackline Darwin,https://www.facebook.com/groups/332360046913669/,-12.446908040239592,130.83462297020378,Yes,"https://www.google.com/maps/@-12.446908040239592,130.83462297020378,15z"
,Geelong,Slackline Geelong / Surfcoast / Bellarine,https://www.facebook.com/groups/478772522205146/,,,No
,Gold Coast,Slackline Australia Gold Coast Tribe,www.facebook.com/groups/slacklinegoldcoast,-28.01667,153.4,Yes,"https://www.google.com/maps/@-28.01667,153.4,15z"
,Gold Coast,Slacklife Gold Coast,https://www.facebook.com/groups/715890878455440/,,,No
,Hobart,"Hobart Fire, juggling, flow, Acro And Slackline Jams",fb.com/groups/127086727989174/,,,No
,Melbourne,Melb Highline,https://www.facebook.com/groups/565432430204964/,,,No
,Melbourne,Slackline Melbourne,https://www.facebook.com/groups/slacklinemelbourne/,-37.81361,144.9631,Yes,"https://www.google.com/maps/@-37.81361,144.9631,15z"
,Newcastle,Newcastle Australia Slacklining,https://www.facebook.com/groups/298207786900174/,-32.8851,151.724,Yes,"https://www.google.com/maps/@-32.8851,151.724,15z"
,Perth,SLACKLINE PERTH AUSTRALIA <3,www.facebook.com/groups/202879596433035/,-31.95053,115.8605,Yes,"https://www.google.com/maps/@-31.95053,115.8605,15z"
,Sydney,North Sydney Slackline,https://www.facebook.com/groups/1551373241857960/,-33.83965,151.2054,Yes,"https://www.google.com/maps/@-33.83965,151.2054,15z"
,Sydney,Slackline Sydney,https://www.facebook.com/groups/SlacklineSydney/,-33.8879384037662,151.192117316737,Yes,"https://www.google.com/maps/@-33.8879384037662,151.192117316737,15z"
,Sydney,Sydney Highline,https://www.facebook.com/groups/922279744523143/,,,No
,Sydney,The Bondi Slackliners,https://www.facebook.com/groups/172249732969223/,-33.89148,151.2767,Yes,"https://www.google.com/maps/@-33.89148,151.2767,15z"
,Tasmania,Slackline Tasmania,https://www.facebook.com/groups/1712851322261180/,-42.191178707692586,146.62325459788843,Yes,"https://www.google.com/maps/@-42.191178707692586,146.62325459788843,15z"
,Tasmania,Tasmanian University Slacklining Club,https://www.facebook.com/groups/2128337130737751,,,No
,Townsville,"Come play in Townsville! Hoops, slackline, poi and more!",www.fb.com/groups/180113565352407/,,,No
,Townsville,Slacklining Townsville,https://www.facebook.com/groups/285177561507600/,,,No
,Victoria,Alpine Vic Slackline,https://www.facebook.com/groups/160311701413736/,,,No
,Wollongong,Slackline Wollongong,https://www.facebook.com/groups/889032734481958/,-34.42781,150.8931,Yes,"https://www.google.com/maps/@-34.42781,150.8931,15z"
AUSTRIA,Countrywide,National Association: Slackline Verband,www.facebook.com/SlacklineVerband,,,No
,Countrywide,SlackChat Deutsch,https://www.facebook.com/groups/481998168677508/,,,No
,Countrywide,Slackline.at,https://www.facebook.com/Slackline.at/,,,No
,Afritz am See,slackline-climbing afritz/see,www.facebook.com/groups/1437171973227792/,,,No
,Carinthia,Slacklineverein Teambalance,www.facebook.com/slacklineverein.teambalance,,,No
,Salzburg,"Jonglier, Acrobatic und Slackline Gruppe Salzburg",fb.com/groups/434823533345556,,,No
,Salzburg,Slackline Salzburg,https://www.facebook.com/slacklinesalzburg,47.7887911477615,13.0440819727052,Yes,"https://www.google.com/maps/@47.7887911477615,13.0440819727052,15z"
