Country/State,City/Region,Group Name,Link,Latitude,Longitude
,Steyr,slackline bande steyr,www.facebook.com/groups/150738058316052,,
,St. Pölten,Slackline-treff St.Pölten,www.facebook.com/groups/1582386848742309,,
,Tyrol,Tiroliners - Slacklinen in Tirol,https://www.facebook.com/Tiroliners,,
,Vienna,Vienna Slackliners (page),https://www.facebook.com/viennaslackliners/,,
,Vienna,Vienna Slackliners (group),https://www.facebook.com/groups/viennaslackliners/,,
,Vorarlberg,Gruppe: Slackline Vorarlberg,https://www.facebook.com/groups/239213182939946/,,
,Vorarlberg,Slackline Vorarlberg,https://www.facebook.com/slacklinevorarlberg/,,
,,,,,
BELGIUM,Countrywide,Slackline Belgium,https://www.facebook.com/groups/2962240000/,,
,Countrywide,Slackline Belgium (nl),https://www.facebook.com/groups/100797709993181/,,
,Countrywide,Belgium Highline group,https://www.facebook.com/groups/177523902951400/,,
,Countrywide,Slackline Gent,https://www.facebook.com/groups/123780697722435/,,
,Aalst,Slackline Aalst,https://www.facebook.com/groups/1421278878127089/,,
,Antwerp,Slackline Antwerpen,https://www.facebook.com/groups/1407577446176946/,,
,Bruges,Slackline Bruges,https://www.facebook.com/groups/1615559928685413/,,
,Bruges,Slackline Bruges (Brugge),https://www.facebook.com/groups/slacklinebrugge,,
,Brussels,BeSlack,https://www.facebook.com/BeSlackASBL/,,
,Brussels,Slackline Bruxelles - Brussels - BX,www.facebook.com/groups/1441383392810039/,,
,Kortrijk,Slackline Kortrijk,https://www.facebook.com/groups/286531498180983,,
,Liege,Slack-in Liege,https://www.facebook.com/groups/325253400861405/,,
,Liege,Slackline region Liege,https://www.facebook.com/groups/452414724957337/,,
,Leuven,Slack-Leuven,https://www.facebook.com/groups/1514284422184421/,,
,Leuven,Slackline Leuven/Mechelen,https://www.facebook.com/groups/539665922810701/,,
,Leuven,Slacklining by ESN Leuven,https://www.facebook.com/groups/660978264065172/,,
,Mechelen,slackline Mechelen,www.facebook.com/groups/1464792160430921,,
,Mechelen,Slackline Leuven/Mechelen,https://www.facebook.com/groups/539665922810701/,,
,Mons,Slackline and AcroYoga Mons,https://www.facebook.com/groups/138357376707533/,,
,Poperinge,Slackline Poperinge,https://www.facebook.com/groups/915685111824943/,,
,Tournai,Slackline Tournai,https://www.facebook.com/groups/736381096397115/,,
,,,,,
BOLIVIA,Countrywide,Slackline Bolivia,https://www.facebook.com/SlacklineBolivia,,
,Countrywide,Cochabamba,https://www.facebook.com/groups/1869420666488590/,,
,Santa Cruz de la Sierra,Slackline Bolivia SC,https://www.facebook.com/slacklineboliviasc,,
,,,,,
BOSNIA AND HERZEGOVINA,Countrywide,Slackline Bosnia and Herzegovina,https://www.facebook.com/groups/851385948610847/,,
,Sarajevo,Slackline rajvosa,https://www.facebook.com/groups/slacklinesarajevo/,,
,,,,,
BRAZIL,Countrywide,SlackLife Brasil,https://www.facebook.com/groups/slacklifebrasil/,,
,Countrywide,Slackline Brasil - Slack Click,https://www.facebook.com/groups/405317676251190/,,
,Countrywide,Pico do Highline,https://www.facebook.com/groups/picohighline,,
,Countrywide,Slack Salve !,https://www.facebook.com/groups/slacksalve/,,
,Abaeté (MG),Abaeté Slackline,https://www.facebook.com/abaeteslackline/,,
,Açailândia (MA),Açailândia Slackline,www.fb.com/A%C3%A7ail%C3%A2ndia-Slackline-651829084950349/,,
,Acre (AC),Slackline Acre,https://www.facebook.com/SlacklineAcre,,
,Alagoas (AL),União Slackline Alagoas,https://www.facebook.com/groups/490706880943948/,,
,Alegrete (RS),Slackline Alegrete,https://www.facebook.com/groups/192812154235523/,,
,Anápolis (GO),Slackline Anápolis,https://www.facebook.com/groups/108712299276795/,,
,Aracaju (SE),SlackLine Aracaju,https://www.facebook.com/groups/231114763617755/,,
,Arapongas (PR),Slack Arapongas A.C.I.C.S.,www.facebook.com/groups/278859202237917/,,
,Bagé (RS),Slackline Highline Bagé,https://www.facebook.com/groups/973651129323059/,,
,Bahia (BA),Slackline Bahia,https://www.facebook.com/groups/slacklinebahia,,
,Beberibe (CE),Slackline Beberibe,https://www.facebook.com/groups/1378571289048137/,,
,Belém (MG),Slackline Belém,https://www.facebook.com/groups/515767741894869/,,
,Belford Roxo (RJ),Slackline na Praça de Heliopolis em Belford roxo,www.facebook.com/groups/649013938479083/,,
,Belo Horizonte (MG),Slack BH,https://www.facebook.com/groups/slackbh/,,
,Betim (MG),Slackline Betim Mg,https://www.facebook.com/groups/528276303864888/,,
,Blumenau (SC),Slackline Blumenau,https://www.facebook.com/groups/1472616139666177/,,
,Cachoeira do Sul (RS),SLACKLINE CACHOEIRA,https://www.facebook.com/groups/slacklinecachoeira/,,
,Cachoeira do Sul (RS),Slackline Cachoeira do Sul,https://www.facebook.com/groups/491692224206518/,,
,Camaçari (BA),Slackline Camaçari,https://www.facebook.com/groups/408860715807356/,,
,Camaquã (RS),Slack Camaquã,https://www.facebook.com/Slackcamaqua/,,
,Campinas (SP),KONG Slackline Campinas,https://www.facebook.com/groups/368772403192359/,,
,Campinas (SP),Slackline Campinas,https://www.facebook.com/groups/1493955084168330/,,
,Campinas (SP),Slackline Campinas e região,www.facebook.com/groups/366439460082746/,,
,Campo Grande (MS),Slackline Campo Grande,www.fb.com/Slackline-Campo-Grande-740272369433135/,,
,Campo Grande (MS),Slackline - Campo Grande MS ADRENALINE,www.fb.com/groups/285152804895652/,,
,Campos dos Goytacazes (RJ),Slackline Campos Dos Goytacazes - Rj,https://www.facebook.com/Slackline-Campos-Dos-Goytacazes-Rj-1504034039893785/,,
,Canoas (RS),Slackline Canoas,https://www.facebook.com/groups/201325573358690/,,
,Carazinho (RS),Slackline Carazinho,https://www.facebook.com/groups/1018982351542231/,,
,Caruaru (PE),Slackline Caruaru Team Skyline,www.facebook.com/groups/slacklinecaruaru/,,
,Catalão (GO),Slackline Catalão - Arte de viver!,www.facebook.com/groups/slacklinecat/,,
,Chapecó (SC),Slackline Chapecó,https://www.facebook.com/groups/248870678624671/,,
,Chapecó (SC),Slackline e highline no parque alberto finn chapecó,fb.com/groups/parquealbertofin,,
,Cianorte (PR),Slackline Cianorte,https://www.facebook.com/groups/1592846174272328/,,
,Codó (MA),Slackline Codó,https://www.facebook.com/groups/1684909608409982/,,
,Contagem (MG),Slackline Contagem,https://www.facebook.com/groups/419685268083675/,,
,Coronel Xavier Chaves (MG),Slackline-Coronel xavier chaves,www.fb.com/groups/845627785465169/,,
,Criciúma (SC),Criciúma Slackline,https://www.facebook.com/CriciumaSlackline/,,
,Criciúma (SC),Slackline Criciuma,https://www.facebook.com/groups/102798919828710/,,
,Cuiabá (MT),Slackline- Cuiabá-MT,https://www.facebook.com/groups/419785571408292/,,
,Cuiabá (MT),SlackLine Cuiabá #TREINO & #AULA,www.facebook.com/groups/565345546911670/,,
,Curitibanos (SC),Slacklife Curitibanos,https://www.facebook.com/groups/1389537024600245/,,
,Erechim (RS),Slackline Erechim Rs,https://www.facebook.com/groups/1121442287992480/,,
,Espirito Santo (ES),Slackline - Espirito Santo,www.facebook.com/groups/slackcapixaba,,
,Feira de Santana (BA),Slackline feira de santana,www.fb.com/groups/350358491708107,,
,Ferraz de Vasconcelos (SP),Slackline-Slackers Ferraz-SP,fb.com/groups/588337417852469/,,
,Florianópolis (SC),Slacklife Floripa,https://www.facebook.com/groups/101371916633204/,,
,Fortaleza (CE),Por Um Fio - Slackline Fortaleza - CE,www.fb.com/groups/297220996971214,,
,Francisco Beltrão (PR),SlackLINE Francisco Beltrão,www.fb.com/groups/396489663734314/,,
,Frutal (MG),Slackline Frutal,https://www.facebook.com/groups/567350723330549/,,
,Goiânia (GO),Slackline Goiânia,https://www.facebook.com/groups/slacklinegyn/,,
,Goiânia (GO),Slackline Goiânia,https://www.facebook.com/groups/103305006467645,,
,Gravataí (RS),Gravataí na Fita Slackline / Slackpoints,www.fb.com/groups/gravatainafita/,,
,Guaíba (RS),Slackline Guaíba,https://www.facebook.com/groups/325672954124435/,,
,Guaíra (SP),Slackline Guaíra,https://www.facebook.com/groups/slacklineguaira/,,
,Guarapari (ES),Slackline Guarapari,https://www.facebook.com/SlacklineGuarapari/,,
,Guaratuba (PR),slackline//longline//highlineGuaratuba-PR,fb.com/groups/706598716160778/,,
,Guarulhos (SP),Slackline Guarulhos ,https://www.facebook.com/groups/160115307468344/,,
,Humaitá (AM),Humaitá SlackLine,https://www.facebook.com/groups/241001549323241/,,
,Ilhabela (SP) ,Slackline Ilhabela,https://www.facebook.com/groups/175667069200812,,
,Ipatinga (MG),SoulSlackline Ipatinga,https://www.facebook.com/groups/slackipa/,,
