Country/State,City/Region,Group Name,Link,Latitude,Longitude,Merged?,Map Link
,Santa Fe,SLACKLINE Santa Fe,https://www.facebook.com/groups/114003572018821/,35.68697,-105.9378,Yes,"https://www.google.com/maps/@35.68697,-105.9378,15z"
,Tandil,SlackLine Tandil,https://www.facebook.com/groups/580376878642434/,-37.331765,-59.136509,No,"https://www.google.com/maps/@-37.3195022,-59.2127424,12z"
,Tucumán,Slackline Tucumán,https://www.facebook.com/groups/enlacuerdafloja,-26.861751,-65.266606,No,"https://www.google.com/maps/@-27.0233244,-66.4413849,8z"
,Villa Mercedes,Slackline Villa Mercedes,https://www.facebook.com/groups/285870781589794/,-33.680217,-65.45957,No,"https://www.google.com/maps/@-33.6765242,-65.533734,12z"
,Zarate,Slackline Zarate,https://www.facebook.com/SlacklineZarate/,-34.115073,-59.018509,No,"https://www.google.com/maps/@-34.106372,-59.1118228,12z"
ARMENIA,Yerevan,Step Slackliners,https://www.facebook.com/slackliners.of.armenia/,40.174484,44.515853,No,"https://www.google.com/maps/@40.153306,44.348482,11z"
AUSTRALIA,Countrywide,Highlining Australia,https://www.facebook.com/groups/HighlineAustralia/,-25.901323,134.180351,No,"https://www.google.com/maps/@-23.8494235,130.1963902,5.05z"
,Countrywide,Slackline Australia,https://www.facebook.com/slackline.australia/,-24.348682,133.957207,No,"https://www.google.com/maps/@-23.8494235,130.1963902,5.05z"
,Adelaide,Adelaide Slackline,https://www.facebook.com/AdelaideSlackline/,-34.9285,138.6007,Yes,"https://www.google.com/maps/@-34.9285,138.6007,15z"
,Adelaide,Adelaide Slackline Syndicate,https://www.facebook.com/groups/AdelaideSlackliners/,-34.926389,138.597997,Yes,"https://www.google.com/maps/@-34.9222369,138.5913015,14z"
,Adelaide,The Adelaide Highline Fellowship,www.facebook.com/groups/400002323539842,-34.9323,138.594306,No,"https://www.google.com/maps/@-34.9263889,138.5846926,14z"
,Alice Springs,Slackline Alice Springs,https://www.facebook.com/groups/1595938500625342,-23.6986293,133.8725868,No,"https://www.google.com/maps/@-23.6986293,133.8725868,14.9z"
,Bargara,Slackline Bundaberg Bargara,www.facebook.com/groups/174018779675209,-24.86697,152.351,Yes,"https://www.google.com/maps/@-24.86697,152.351,15z"
,Brisbane,Slackline Brisbane,https://www.facebook.com/groups/slacklinebrisbane/,-27.46977,153.0251,Yes,"https://www.google.com/maps/@-27.46977,153.0251,15z"
,Campbelltown,Camden Fire Twirling + Slackline Community,https://www.facebook.com/groups/502982613083936/,-34.05444,150.6958,Yes,"https://www.google.com/maps/@-34.05444,150.6958,15z"
,Darwin,Slackline Darwin,https://www.facebook.com/groups/332360046913669/,-12.44690804,130.834623,Yes,"https://www.google.com/maps/@-12.446908040239592,130.83462297020378,15z"
,Geelong,Slackline Geelong / Surfcoast / Bellarine,https://www.facebook.com/groups/478772522205146/,-38.148813,144.361508,No,"https://www.google.com/maps/@-38.148813,144.3593193,17z"
,Gold Coast,Slackline Australia Gold Coast Tribe,www.facebook.com/groups/slacklinegoldcoast,28.0015466,153.3660388,Yes,"https://www.google.com/maps/@-28.01667,153.4,15z"
,Gold Coast,Slacklife Gold Coast,https://www.facebook.com/groups/715890878455440/,28.0015466,153.3660388,No,"https://www.google.com/maps/@-28.01667,153.4,15z"
,Hobart,"Hobart Fire, juggling, flow, Acro And Slackline Jams",fb.com/groups/127086727989174/,-42.883156,147.325724,No,"https://www.google.com/maps/@-42.883156,147.3235353,17z"
,Melbourne,Melb Highline,https://www.facebook.com/groups/565432430204964/,-37.81361,144.9631,No,"https://www.google.com/maps/@-37.81361,144.9631,15z"
,Melbourne,Slackline Melbourne,https://www.facebook.com/groups/slacklinemelbourne/,-37.807439,144.941685,Yes,"https://www.google.com/maps/@-37.807439,144.9394963,17z"
,Newcastle,Newcastle Australia Slacklining,https://www.facebook.com/groups/298207786900174/,-32.8851,151.724,Yes,"https://www.google.com/maps/@-32.8851,151.724,15z"
,Perth,SLACKLINE PERTH AUSTRALIA <3,www.facebook.com/groups/202879596433035/,-31.95053,115.8605,Yes,"https://www.google.com/maps/@-31.95053,115.8605,15z"
,Sydney,North Sydney Slackline,https://www.facebook.com/groups/1551373241857960/,-33.83965,151.2054,Yes,"https://www.google.com/maps/@-33.83965,151.2054,15z"
,Sydney,Slackline Sydney,https://www.facebook.com/groups/SlacklineSydney/,-33.8879384,151.1921173,Yes,"https://www.google.com/maps/@-33.8879384037662,151.192117316737,15z"
,Sydney,Sydney Highline,https://www.facebook.com/groups/922279744523143/,-33.873534,151.221121,No,"https://www.google.com/maps/@-33.873534,151.2189323,17z"
,Sydney,The Bondi Slackliners,https://www.facebook.com/groups/172249732969223/,-33.89148,151.2767,Yes,"https://www.google.com/maps/@-33.89148,151.2767,15z"
,Tasmania,Slackline Tasmania,https://www.facebook.com/groups/1712851322261180/,-42.19117871,146.6232546,Yes,"https://www.google.com/maps/@-42.191178707692586,146.62325459788843,15z"
,Tasmania,Tasmanian University Slacklining Club,https://www.facebook.com/groups/2128337130737751,-42.903568,147.326225,No,"https://www.google.com/maps/place/Florentino+Ameghino+Park/@-34.6364552,-58.3962966,17z/data=!3m1!4b1!4m5!3m4!1s0x95bccb3e01e6ac0f:0xb113b8232265ebcf!8m2!3d-34.6364552!4d-58.3941079"
,Townsville,"Come play in Townsville! Hoops, slackline, poi and more!",www.fb.com/groups/180113565352407/,-19.261373,146.81595,No,"https://www.google.com/maps/@-19.261373,146.8137613,17z"
,Townsville,Slacklining Townsville,https://www.facebook.com/groups/285177561507600/,-19.255483,146.817531,No,"https://www.google.com/maps/@-19.255483,146.8153423,17z"
,Victoria,Alpine Vic Slackline,https://www.facebook.com/groups/160311701413736/,-36.896031,147.05102,No,"https://www.google.com/maps/@-36.896031,147.05102,17z"
,Wollongong,Slackline Wollongong,https://www.facebook.com/groups/889032734481958/,-34.42781,150.8931,Yes,"https://www.google.com/maps/@-34.42781,150.8931,15z"
AUSTRIA,Countrywide,National Association: Slackline Verband,www.facebook.com/SlacklineVerband,47.338324,14.145198,No,"https://www.google.com/maps/place/Florentino+Ameghino+Park/@-34.6364552,-58.3962966,17z/data=!3m1!4b1!4m5!3m4!1s0x95bccb3e01e6ac0f:0xb113b8232265ebcf!8m2!3d-34.6364552!4d-58.3941079"
,Countrywide,SlackChat Deutsch,https://www.facebook.com/groups/481998168677508/,47.338324,14.145198,No,"https://www.google.com/maps/place/Florentino+Ameghino+Park/@-34.6364552,-58.3962966,17z/data=!3m1!4b1!4m5!3m4!1s0x95bccb3e01e6ac0f:0xb113b8232265ebcf!8m2!3d-34.6364552!4d-58.3941079"
,Countrywide,Slackline.at,https://www.facebook.com/Slackline.at/,47.338324,14.145198,No,"https://www.google.com/maps/place/Florentino+Ameghino+Park/@-34.6364552,-58.3962966,17z/data=!3m1!4b1!4m5!3m4!1s0x95bccb3e01e6ac0f:0xb113b8232265ebcf!8m2!3d-34.6364552!4d-58.3941079"
,Afritz am See,slackline-climbing afritz/see,www.facebook.com/groups/1437171973227792/,46.726068,13.787558,No,"https://www.google.com/maps/dir///@46.726068,13.787558,17z/data=!4m2!4m1!3e0"
,Carinthia,Slacklineverein Teambalance,www.facebook.com/slacklineverein.teambalance,46.765459,13.891622,No,"https://www.google.com/maps/@46.765459,13.891622,17z"
,Salzburg,"Jonglier, Acrobatic und Slackline Gruppe Salzburg",fb.com/groups/434823533345556,47.78879115,13.04408197,No,"https://www.google.com/maps/@47.7887911477615,13.0440819727052,15z"
,Salzburg,Slackline Salzburg,https://www.facebook.com/slacklinesalzburg,47.78879115,13.04408197,Yes,"https://www.google.com/maps/@47.7887911477615,13.0440819727052,15z"
,Steyr,slackline bande steyr,www.facebook.com/groups/150738058316052,48.048086,14.418363,No,"https://www.google.com/maps/dir///@48.048086,14.418363,17z/data=!4m2!4m1!3e0"
,St. Pölten,Slackline-treff St.Pölten,www.facebook.com/groups/1582386848742309,48.209342,15.636025,No,"https://www.google.com/maps/dir///@48.209342,15.636025,17z/data=!4m2!4m1!3e0"
,Tyrol,Tiroliners - Slacklinen in Tirol,https://www.facebook.com/Tiroliners,47.30231347,11.2975087,Yes,"https://www.google.com/maps/@47.302313468218784,11.297508703960204,15z"
,Vienna,Vienna Slackliners (page),https://www.facebook.com/viennaslackliners/,48.14427548,16.35679136,Yes,"https://www.google.com/maps/@48.1442754777153,16.356791360799,15z"
,Vienna,Vienna Slackliners (group),https://www.facebook.com/groups/viennaslackliners/,48.14427548,16.35679136,Yes,"https://www.google.com/maps/@48.1442754777153,16.356791360799,15z"
,Vorarlberg,Gruppe: Slackline Vorarlberg,https://www.facebook.com/groups/239213182939946/,47.23821336,9.898590436,No,"https://www.google.com/maps/@47.2382133575154,9.89859043557232,15z"
,Vorarlberg,Slackline Vorarlberg,https://www.facebook.com/slacklinevorarlberg/,47.23821336,9.898590436,Yes,"https://www.google.com/maps/@47.2382133575154,9.89859043557232,15z"
BELGIUM,Countrywide,Slackline Belgium,https://www.facebook.com/groups/2962240000/,50.50389,4.469936,Yes,"https://www.google.com/maps/@50.50389,4.469936,15z"
,Countrywide,Slackline Belgium (nl),https://www.facebook.com/groups/100797709993181/,50.50389,4.469936,Yes,"https://www.google.com/maps/@50.50389,4.469936,15z"
,Countrywide,Belgium Highline group,https://www.facebook.com/groups/177523902951400/,50.50389,4.469936,No,"https://www.google.com/maps/@50.50389,4.469936,15z"
,Countrywide,Slackline Gent,https://www.facebook.com/groups/123780697722435/,50.50389,4.469936,No,"https://www.google.com/maps/@50.50389,4.469936,15z"
